sdate,date,time,days,start_mileage,end_mileage,distance,duration_days,milespday,type_fuel,totalvol_gal,refillvol_gal,left_gal,usage_gal,milespgal,cost,costpgal,costpmile,receiptno,cashier,gs,gasstationdetails,,,,,,
2018-05-19,2018-05-19,18:46:15,0,99268,99494,226,80,2.825,Super Unleaded,12.4,7.676,4.724,7.961,28.38839342,21.18,2.759,0.093716814,2220494,Johnny Reg. 2,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2018-08-07,08:59:22,80,99494,99720,226,33,6.848484848,Super Unleaded,12.4,7.961,4.439,7.514,30.07718925,21.73,2.729,0.096150442,1363724,Michael Reg. 1,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2018-09-09,21:11:40,113,99720,99896,176,64,2.75,Super Unleaded,12.4,7.514,4.886,7.475,23.5451505,20.21,2.689,0.114829546,1376162,Courtney Reg. 1,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2018-11-12,19:28:42,177,99896,100052,156,27,5.777777778,Super Unleaded,12.4,7.475,4.925,6.927,22.52057168,18.61,2.489,0.119294872,1395096,Manuel Reg. 1,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2018-12-09,20:51:28,204,100052,100211,159,27,5.888888889,Super Unleaded,12.4,6.927,5.473,6.411,24.80112307,14.89,2.149,0.093647799,2269938,Manuel Reg. 2,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-01-05,17:06:35,231,100211,100317,106,63,1.682539683,Super Unleaded,12.4,6.411,5.989,5.436,19.49963208,12.56,1.959,0.118490566,1410043,Courtney Reg. 1,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-03-09,20:18:38,294,100317,100471,154,42,3.666666667,Super Unleaded,12.4,5.436,6.964,6.025,25.56016598,13.04,2.399,0.084675325,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-04-20,,336,100471,100641,170,36,4.722222222,Super Unleaded,12.4,6.025,6.375,6.372,26.67922159,16.26,2.699,0.095647059,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-05-26,14:34,372,100641,100822,181,42,4.30952381,Super Unleaded,12.4,6.372,6.028,7.339,24.66276059,16.18,2.539,0.089392265,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-07-07,08:34,414,100822,101030,208,19,10.94736842,Super Unleaded,12.4,7.339,5.061,6.949,29.93236437,18.71,2.549,0.089951923,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-07-26,18:05,433,101030,101176,146,31,4.709677419,Super Unleaded,12.4,6.949,5.451,6.109,23.89916517,17.71,2.549,0.12130137,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-08-26,17:50,464,101176,101329,153,39,3.923076923,Super Unleaded,12.4,6.109,6.291,5.827,26.25707911,14.84,2.429,0.096993464,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-10-04,16:51,503,101329,101456,127,30,4.233333333,Super Unleaded,12.4,5.827,6.573,5.516,23.02393038,14.04,2.409,0.110551181,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-11-03,16:17,533,101456,101600,144,34,4.235294118,Super Unleaded,12.4,5.516,6.884,6.799,21.17958523,13.29,2.409,0.092291667,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-12-07,17:45,567,101600,101728,128,23,5.565217391,Super Unleaded,12.4,6.799,5.601,5.704,22.44039271,16.17,2.379,0.126328125,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2019-12-30,14:08,590,101728,101854,126,26,4.846153846,Super Unleaded,12.4,5.704,6.696,5.879,21.43221636,13.34,2.339,0.105873016,,,Casey,"Casey's General Store #2729, 5500 Superior St., Lincoln",,,,,,
2018-05-19,2020-01-25,14:23:01,616,101854,101928,74,21,3.523809524,Super Unleaded,12.4,5.879,6.521,3.291,22.4855667,13.87,2.359,0.187432432,,,Shell,"Shell, 1449 N56th St, Lincoln",,,,,,
2018-05-19,2020-02-15,17:08,637,101928,102098,170,41,4.146341463,Super Unleaded,12.4,3.291,9.109,7.913,21.48363453,7.43,2.259,0.043705882,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2020-03-27,09:01:02,678,102098,102246,148,31,4.774193548,Super Unleaded,12.4,7.913,4.487,6.194,23.89409106,16.61,2.099,0.11222973,,,SuperC#6,"SuperC #6, 1700 L Street, Lincoln, NE 68508",,,,,,
2018-05-19,2020-04-27,09:08:00,709,102246,102426,180,24,7.5,Super Unleaded,12.4,6.194,6.206,6.433,27.98072439,11.51,1.859,0.063944444,,,SuperC#6,"SuperC #6, 1700 L Street, Lincoln, NE 68508",,,,,,
2018-05-19,2020-05-21,14:42,733,102426,102624,198,23,8.608695652,Regular,12.4,6.433,5.967,7.212,27.45424293,10.16,1.579,0.051313131,47520,,Costco,"Costco #1285 1620 Pine Lake Road, Lincoln",,,,,,
2018-05-19,2020-06-13,09:50,756,102624,102797,173,35,4.942857143,Regular,12.4,7.212,5.188,7.432,23.27771798,12.97,1.799,0.074971098,50166,,Costco,"Costco #1285 1620 Pine Lake Road, Lincoln",,,,,,
2018-05-19,2020-07-18,03:40,791,102797,102914,117,22,5.318181818,Super Unleaded,12.4,7.432,4.968,5.599,20.89658868,15.97,2.149,0.136495727,,,Casey,"Casey's General Store #2982, 3291 Holdrege St, Lincoln",,,,,,
2018-05-19,2020-08-09,06:32:30,813,102914,103114,200,13,15.38461538,Regular,12.4,5.599,6.801,6.102,32.77613897,10.63,1.899,0.05315,,,NPetro,"N Petro Mart, NP Mart #5, 2801 O Street, Lincoln NE 68510",,,,,,
2018-05-19,2020-08-22,10:28:07,826,103114,103302,188,0,188,Super Unleaded,12.4,6.102,6.298,4.93,38.13387424,12.81,2.099,0.068138298,,Lisa,Tilly's,"Tilly's Gas and Groceries, 316 W Main Street, Battle Creek, NE 68715",,,,,,
2018-05-19,2020-08-22,15:07:54,826,103302,103536,234,13,18,Super Unleaded,12.4,4.93,7.47,7.478,31.29178925,9.61,1.949,0.041068376,,,TBoneN,"T Bone North, 101 Highway 275, Meadow Grove, NE 68752",,,,,,
2018-05-19,2020-09-04,17:22,839,103536,103618,82,29,2.827586207,Super Unleaded,12.4,7.478,4.922,3.599,22.7841067,15.4,2.059,0.187804878,,,Murphys,"Murphy's Express 8781, 3301 N 85th St, Lincoln, NE 68507",,,,,,
2018-05-19,2020-10-03,10:22,868,103618,103684,66,42,1.571428571,Regular,12.4,3.599,8.801,7.413,8.903278025,6.69,1.859,0.101363636,,,Costco,"Costco #1285 1620 Pine Lake Road, Lincoln",,,,,,
2018-05-19,2020-11-14,09:24,910,103784,103987,203,13,15.61538462,Regular,12.4,7.413,4.987,6.024,33.69853918,13.34,1.799,0.065714286,,,Costco,"Costco #1285 1620 Pine Lake Road, Lincoln",,,,,,
2018-05-19,2020-11-27,11:35,923,103987,104180,193,17,11.35294118,Regular,12.4,6.024,6.376,7.168,26.92522321,11.44,1.899,0.059274611,,,NPetro,"N Petro Mart, NP Mart #5, 2801 O Street, Lincoln NE 68510",,,,,,
